page,name,url
4,Haikyuu!!: To the Top,https://myanimelist.net/anime/38883/Haikyuu__To_the_Top
4,Major S6,https://myanimelist.net/anime/7655/Major_S6
4,K-On! Movie,https://myanimelist.net/anime/9617/K-On_Movie
4,Katanagatari,https://myanimelist.net/anime/6594/Katanagatari
4,Kemono no Souja Erin,https://myanimelist.net/anime/5420/Kemono_no_Souja_Erin
4,Made in Abyss Movie 2: Hourou Suru Tasogare,https://myanimelist.net/anime/37515/Made_in_Abyss_Movie_2__Hourou_Suru_Tasogare
4,Mobile Suit Gundam: The Origin,https://myanimelist.net/anime/10937/Mobile_Suit_Gundam__The_Origin
4,Natsume Yuujinchou: Itsuka Yuki no Hi ni,https://myanimelist.net/anime/20651/Natsume_Yuujinchou__Itsuka_Yuki_no_Hi_ni
4,One Outs,https://myanimelist.net/anime/5040/One_Outs
4,Ookami to Koushinryou II,https://myanimelist.net/anime/5341/Ookami_to_Koushinryou_II
4,Romeo no Aoi Sora,https://myanimelist.net/anime/2559/Romeo_no_Aoi_Sora
4,Sakamichi no Apollon,https://myanimelist.net/anime/12531/Sakamichi_no_Apollon
5,Tenki no Ko,https://myanimelist.net/anime/38826/Tenki_no_Ko
5,Versailles no Bara,https://myanimelist.net/anime/338/Versailles_no_Bara
5,Natsume Yuujinchou Go Specials,https://myanimelist.net/anime/34534/Natsume_Yuujinchou_Go_Specials
5,Neon Genesis Evangelion,https://myanimelist.net/anime/30/Neon_Genesis_Evangelion
5,Boku dake ga Inai Machi,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi
5,Evangelion: 2.0 You Can (Not) Advance,https://myanimelist.net/anime/3784/Evangelion__20_You_Can_Not_Advance
5,Fate/stay night: Unlimited Blade Works 2nd Season,https://myanimelist.net/anime/28701/Fate_stay_night__Unlimited_Blade_Works_2nd_Season
5,Hotarubi no Mori e,https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e
5,Doukyuusei (Movie),https://myanimelist.net/anime/30346/Doukyuusei_Movie
5,Hunter x Hunter: Original Video Animation,https://myanimelist.net/anime/137/Hunter_x_Hunter__Original_Video_Animation
5,Major: World Series,https://myanimelist.net/anime/11917/Major__World_Series
5,Natsume Yuujinchou,https://myanimelist.net/anime/4081/Natsume_Yuujinchou
5,NHK ni Youkoso!,https://myanimelist.net/anime/1210/NHK_ni_Youkoso
5,Shelter (Music),https://myanimelist.net/anime/34240/Shelter_Music
5,Shinsekai yori,https://myanimelist.net/anime/13125/Shinsekai_yori
5,Shirobako,https://myanimelist.net/anime/25835/Shirobako
5,Yoru Ni Kakeru,https://myanimelist.net/anime/48653/Yoru_Ni_Kakeru
5,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai
5,Steins;Gate: Oukoubakko no Poriomania,https://myanimelist.net/anime/10863/Steins_Gate__Oukoubakko_no_Poriomania
5,Tensei shitara Slime Datta Ken 2nd Season Part 2,https://myanimelist.net/anime/41487/Tensei_shitara_Slime_Datta_Ken_2nd_Season_Part_2
5,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",https://myanimelist.net/anime/37095/Violet_Evergarden__Kitto_Ai_wo_Shiru_Hi_ga_Kuru_no_Darou
5,Dr. Stone,https://myanimelist.net/anime/38691/Dr_Stone
5,Fate/Zero,https://myanimelist.net/anime/10087/Fate_Zero
5,Kino no Tabi: The Beautiful World,https://myanimelist.net/anime/486/Kino_no_Tabi__The_Beautiful_World
5,Kuroko no Basket 3rd Season,https://myanimelist.net/anime/24415/Kuroko_no_Basket_3rd_Season
5,Beck,https://myanimelist.net/anime/57/Beck
5,Detective Conan Movie 06: The Phantom of Baker Street,https://myanimelist.net/anime/1365/Detective_Conan_Movie_06__The_Phantom_of_Baker_Street
5,Diamond no Ace: Second Season,https://myanimelist.net/anime/30230/Diamond_no_Ace__Second_Season
5,Great Pretender,https://myanimelist.net/anime/40052/Great_Pretender
5,Hibike! Euphonium 2,https://myanimelist.net/anime/31988/Hibike_Euphonium_2
5,Initial D First Stage,https://myanimelist.net/anime/185/Initial_D_First_Stage
5,Kawaki wo Ameku,https://myanimelist.net/anime/39112/Kawaki_wo_Ameku
5,Luo Xiao Hei Zhan Ji (Movie),https://myanimelist.net/anime/40211/Luo_Xiao_Hei_Zhan_Ji_Movie
5,Nodame Cantabile,https://myanimelist.net/anime/1698/Nodame_Cantabile
5,Rurouni Kenshin: Meiji Kenkaku Romantan,https://myanimelist.net/anime/45/Rurouni_Kenshin__Meiji_Kenkaku_Romantan
5,Tsubasa: Tokyo Revelations,https://myanimelist.net/anime/2685/Tsubasa__Tokyo_Revelations
5,Redline,https://myanimelist.net/anime/6675/Redline
5,Stranger: Mukou Hadan,https://myanimelist.net/anime/2418/Stranger__Mukou_Hadan
5,Ashita no Joe,https://myanimelist.net/anime/2402/Ashita_no_Joe
5,Bakemono no Ko,https://myanimelist.net/anime/28805/Bakemono_no_Ko
5,Kono Subarashii Sekai ni Shukufuku wo! 2,https://myanimelist.net/anime/32937/Kono_Subarashii_Sekai_ni_Shukufuku_wo_2
5,Douluo Dalu: Xingdou Xian Ji Pian,https://myanimelist.net/anime/42977/Douluo_Dalu__Xingdou_Xian_Ji_Pian
5,Gin no Saji 2nd Season,https://myanimelist.net/anime/19363/Gin_no_Saji_2nd_Season
5,Gintama: Shinyaku Benizakura-hen,https://myanimelist.net/anime/9735/Gintama__Shinyaku_Benizakura-hen
5,Gyakkyou Burai Kaiji: Ultimate Survivor,https://myanimelist.net/anime/3002/Gyakkyou_Burai_Kaiji__Ultimate_Survivor
5,Koukaku Kidoutai,https://myanimelist.net/anime/43/Koukaku_Kidoutai
5,Planetes,https://myanimelist.net/anime/329/Planetes
5,Tenkuu no Shiro Laputa,https://myanimelist.net/anime/513/Tenkuu_no_Shiro_Laputa
5,Tokyo Godfathers,https://myanimelist.net/anime/759/Tokyo_Godfathers
5,Tokyo Revengers,https://myanimelist.net/anime/42249/Tokyo_Revengers
6,Quanzhi Gaoshou Specials,https://myanimelist.net/anime/37078/Quanzhi_Gaoshou_Specials
6,Tonari no Totoro,https://myanimelist.net/anime/523/Tonari_no_Totoro
6,Wu Liuqi Zhi Zui Qiang Fa Xing Shi,https://myanimelist.net/anime/40784/Wu_Liuqi_Zhi_Zui_Qiang_Fa_Xing_Shi
6,Yuru Camp△,https://myanimelist.net/anime/34798/Yuru_Camp△
6,Hajime no Ippo: Champion Road,https://myanimelist.net/anime/264/Hajime_no_Ippo__Champion_Road
6,Hunter x Hunter: Greed Island Final,https://myanimelist.net/anime/139/Hunter_x_Hunter__Greed_Island_Final
6,Re:Zero kara Hajimeru Isekai Seikatsu,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu
6,Sennen Joyuu,https://myanimelist.net/anime/1033/Sennen_Joyuu
6,Space☆Dandy 2nd Season,https://myanimelist.net/anime/23327/Space☆Dandy_2nd_Season
6,No Game No Life: Zero,https://myanimelist.net/anime/33674/No_Game_No_Life__Zero
6,Nodame Cantabile: Finale,https://myanimelist.net/anime/5690/Nodame_Cantabile__Finale
6,Non Non Biyori Movie: Vacation,https://myanimelist.net/anime/36990/Non_Non_Biyori_Movie__Vacation
6,Ookami to Koushinryou,https://myanimelist.net/anime/2966/Ookami_to_Koushinryou
6,Stand By Me Doraemon 2,https://myanimelist.net/anime/40853/Stand_By_Me_Doraemon_2
